iter	R2	MAE
0	0.03915189862	0.6212439912
1	0.09551817377	0.6101597307
2	0.1485546202	0.5958742251
3	0.1987341722	0.5824332229
4	0.233967926	0.5728712409
5	0.262828179	0.5644676516
6	0.2916099578	0.5539395839
7	0.316305152	0.5448182374
8	0.3366571689	0.5356030616
9	0.3536420763	0.5274338446
10	0.3703148977	0.5193561184
11	0.3791900561	0.5142714041
12	0.3927547219	0.5066808477
13	0.4049712411	0.4996336709
14	0.4143265525	0.4938997065
15	0.4276995745	0.4870272205
16	0.4382366868	0.4810820328
17	0.4489017165	0.474957045
18	0.4580603378	0.4690673194
19	0.4672142736	0.4639177529
20	0.475365409	0.4584058018
21	0.4820217742	0.4543027488
22	0.4904270701	0.4486077293
23	0.4952712553	0.4451849944
24	0.5008288275	0.441506005
25	0.5054217522	0.4381265729
26	0.5124788238	0.4338029259
27	0.5161240292	0.4310292366
28	0.5186294323	0.4291172033
29	0.5250339061	0.4251142634
30	0.5283328815	0.4224731285
31	0.5321933441	0.420063063
32	0.5355379608	0.4178686874
33	0.5388975433	0.415956819
34	0.543969659	0.4132536611
35	0.5516724991	0.4090717657
36	0.5554706698	0.4066302865
37	0.5575089658	0.405097175
38	0.5599709904	0.4034327947
39	0.563963105	0.4011073843
40	0.5677752238	0.3986395808
41	0.5728602976	0.3957042969
42	0.5749485567	0.3945326445
43	0.5770439775	0.3927939168
44	0.5793821804	0.3912946619
45	0.5842171683	0.3882950067
46	0.585799416	0.3871569827
47	0.5874654934	0.3859762995
48	0.5902228208	0.3843490907
49	0.5927742871	0.3824761178
50	0.5946842866	0.3812741524
51	0.5987967457	0.3790161533
52	0.600578939	0.3778118855
53	0.6034300525	0.3759547055
54	0.6104476538	0.3719618029
55	0.6113986231	0.3714009037
56	0.6143444438	0.3697635497
57	0.6152002366	0.3691674237
58	0.6173895737	0.3676916104
59	0.6182736559	0.366800357
60	0.6212955859	0.3651081913
61	0.6242111646	0.3634129911
62	0.6261869178	0.3620030982
63	0.6278932778	0.3606369683
64	0.6298861375	0.3593401673
65	0.6318840635	0.3583025652
66	0.6336749925	0.3572763538
67	0.6353537373	0.3560070247
68	0.6366553518	0.3550181923
69	0.6375116938	0.354394107
70	0.6394589794	0.3530889158
71	0.6412594861	0.3516719538
72	0.6434894295	0.3502683768
73	0.6471654978	0.3479362141
74	0.6490970846	0.3466459825
75	0.6502581647	0.3458848226
76	0.6510877239	0.345388565
77	0.6523993849	0.3444228271
78	0.6538557036	0.3434696509
79	0.655617923	0.3422713613
80	0.6610088195	0.3390992112
81	0.6656510607	0.3362895776
82	0.6661259471	0.3358119088
83	0.6680675297	0.3343237631
84	0.6717024458	0.3321969015
85	0.672737322	0.3313431921
86	0.6745420722	0.3299938693
87	0.6749670519	0.3295299476
88	0.6758093904	0.3287240521
89	0.676579266	0.328141459
90	0.6767012205	0.3280574842
91	0.6796185375	0.3259500254
92	0.682279317	0.3244167278
93	0.6846140946	0.3228420789
94	0.6878097866	0.3207259212
95	0.6894942178	0.3194446249
96	0.6914419968	0.3178886844
97	0.6946733392	0.3162854237
98	0.6973346706	0.3145783975
99	0.6991485054	0.3135185602
100	0.7002314254	0.3126582562
101	0.7012482376	0.3117467143
102	0.7021580663	0.3109349315
103	0.7037659133	0.3095713461
104	0.7053690381	0.3081540471
105	0.7072882311	0.3066623778
106	0.7104722608	0.3044114558
107	0.712912619	0.3023113466
108	0.7157407108	0.3002837086
109	0.7164077945	0.2996195724
110	0.7174882967	0.2985561085
111	0.7195048034	0.2969678853
112	0.7212438125	0.2954424378
113	0.7216459806	0.2949467916
114	0.7232904923	0.2936810546
115	0.7240742872	0.2928424249
116	0.7267522084	0.2910977271
117	0.730903024	0.2888606869
118	0.731649352	0.2880408602
119	0.7334570865	0.2866533695
120	0.7360836107	0.2846384248
121	0.7364944798	0.2842205847
122	0.7372408658	0.2835518056
123	0.738724387	0.2823386368
124	0.7391358737	0.2818582633
125	0.7407501874	0.2805957189
126	0.7427720236	0.2790921656
127	0.7433784829	0.278490015
128	0.7438861111	0.2778679827
129	0.7451468884	0.2767591267
130	0.7466438991	0.2756411232
131	0.7487110469	0.2741824979
132	0.7492665801	0.2735391155
133	0.7500264142	0.2728816125
134	0.7510719472	0.2718913041
135	0.7514005405	0.2713003171
136	0.7525275137	0.2702334939
137	0.7538181977	0.2690349731
138	0.754172413	0.2686177356
139	0.7554931564	0.2674716446
140	0.7560785545	0.2668391549
141	0.7569822031	0.2662525481
142	0.7582918925	0.2648459453
143	0.7592105232	0.2640908968
144	0.7599165444	0.2633582687
145	0.7628449452	0.2612115053
146	0.7636346453	0.2603127197
147	0.7640697159	0.2598070794
148	0.7654184296	0.2585561376
149	0.7658685793	0.258016753
150	0.7675786356	0.2568901818
151	0.7684763165	0.2564581081
152	0.7697680224	0.2555541894
153	0.7700052885	0.2552291557
154	0.7704065897	0.2545724109
155	0.7711686327	0.2538493793
156	0.7719391842	0.2531748875
157	0.7728831832	0.2523992283
158	0.773068554	0.2521068346
159	0.7738281124	0.2512988593
160	0.7746716768	0.2504896961
161	0.7755822925	0.2498681914
162	0.7758357545	0.2496634083
163	0.7760860593	0.2494371419
164	0.7765711911	0.2488961788
165	0.777904318	0.2478048826
166	0.7781045353	0.2474994579
167	0.778537342	0.2470709998
168	0.7795517688	0.2462448789
169	0.7811855772	0.2452317351
170	0.7814281204	0.2448792699
171	0.7824729106	0.243980497
172	0.7829341096	0.2434871734
173	0.7833642717	0.2428633356
174	0.7835032867	0.242625172
175	0.7841469782	0.2420116126
176	0.7845129315	0.2415936275
177	0.7856882989	0.2406650924
178	0.7864939241	0.2398696521
179	0.7868878941	0.2395014137
180	0.7871503711	0.2391832367
181	0.7880780413	0.2385145963
182	0.788765108	0.2379633435
183	0.7888409401	0.2377767084
184	0.7896391953	0.2371380364
185	0.7904483822	0.2362775797
186	0.7910880882	0.2359160239
187	0.7919919197	0.235212173
188	0.7931050891	0.2342946219
189	0.7950524584	0.2328597915
190	0.7957540871	0.2320770398
191	0.7967390576	0.2311470158
192	0.7977070948	0.2303582877
193	0.7980524033	0.2298942791
194	0.7983769109	0.2295028132
195	0.7994082557	0.2287632848
196	0.8003111018	0.2282443872
197	0.8008191609	0.227738841
198	0.8021900881	0.2270602729
199	0.8026380501	0.2267332052
200	0.8029685889	0.226342653
201	0.803724213	0.2257067648
202	0.804082823	0.2253275029
203	0.8042325972	0.225109058
204	0.8044922632	0.2248001083
205	0.8046881183	0.2245245542
206	0.8050509963	0.2240923723
207	0.8066830028	0.2227962024
208	0.807295715	0.2222024991
209	0.8081388193	0.2214322559
210	0.8092809324	0.2206160969
211	0.8115559757	0.2190185759
212	0.8122400333	0.2184210291
213	0.8130775584	0.2177046094
214	0.8140195256	0.2168944179
215	0.8147069599	0.2162985625
216	0.8153231935	0.2156892023
217	0.8156929597	0.2153256026
218	0.8168211429	0.2143530583
219	0.8171145954	0.2140911447
220	0.8172094375	0.213941783
221	0.8177362133	0.2135440897
222	0.8185245405	0.2129590075
223	0.8186438751	0.2127798014
224	0.818909565	0.2125388252
225	0.8197890833	0.2116888066
226	0.819936717	0.2115096171
227	0.820295491	0.2111494975
228	0.8203815049	0.2110021209
229	0.8205919773	0.21072254
230	0.8215817912	0.2100551931
231	0.8221458464	0.2094850115
232	0.8223313419	0.2092422447
233	0.8224351786	0.2090946864
234	0.8225544956	0.2088874822
235	0.8229629001	0.208446749
236	0.8231213081	0.2081863976
237	0.8234161947	0.2077950438
238	0.8240454408	0.2071845217
239	0.8243607153	0.2069017254
240	0.8246356292	0.2066394894
241	0.8249244967	0.206246388
242	0.8251461516	0.2059796531
243	0.825413873	0.2057148333
244	0.825848948	0.2052598693
245	0.8262460472	0.2049008266
246	0.826943354	0.2041998478
247	0.8277675943	0.2034487944
248	0.8280670356	0.2031117613
249	0.8286158596	0.2026867092
250	0.8286806662	0.202539612
251	0.8287390893	0.2024647221
252	0.8291264691	0.2020718432
253	0.8295947765	0.2017475639
254	0.8302058325	0.2012129387
255	0.8303508893	0.2009944475
256	0.8307443922	0.2006706935
257	0.830772611	0.2006197683
258	0.8310440673	0.2003787231
259	0.8312490778	0.2001853799
260	0.8313018514	0.2000998586
261	0.8318488597	0.1996766372
262	0.8319337759	0.1995958275
263	0.8319852121	0.1995215641
264	0.832611037	0.1991059531
265	0.8327613567	0.1989129378
266	0.8328373641	0.1988112411
267	0.8332724262	0.1982965866
268	0.8334866916	0.1980768292
269	0.8342731437	0.1974777065
270	0.834310206	0.1974229836
